cleaned,counts
argentina,600930
buenos aires,221786
cordoba  argentina,110403
rosario,83496
brasil,68398
maana,53434
bariloche,47934
santa fe,43331
la plata,42944
mendoza,40720
chile,40172
mar del plata,38007
salta,37153
venezuela,33220
buenosaires,26864
river,25746
viernes,25191
gracias,24561
uruguay,24243
china,22663
corrientes,22588
colombia,21031
sofia,20952
macri,20806
palermo,20407
quilmes,20397
san lorenzo,20321
santiago,19500
rio,19241
europa,18953
francia,18343
florencia,18238
ciudad de buenos aires,17975
maan,17251
miami,17100
united states,16834
eeuu,15404
tucumn,15133
avellaneda,15049
san juan,14980
italia,14792
san luis,14581
estoy,14090
belgrano,14039
paraguay,13953
cha,13769
usa,13757
jujuy,13622
periscope,12662
dormir,12416
holaaa,12394
chaco,12390
neuqun,12132
mxico,11766
ecuador,11619
entre rios,11578
tucuman,11566
espaa,11552
misiones,11455
posadas,11338
provincia,10983
santa cruz,10683
san martn,10570
catamarca,10561
boca,10557
cuba,10493
san,10440
japn,10321
cambiemos,10134
amrica,10122
formosa,9979
barcelona,9717
pilar,9534
ciudad,9508
alemania,9385
santa rosa,9261
roma,9259
londres,9257
plaza de mayo,9253
bolivia,9164
ezeiza,9119
madrid,8732
mexico,8647
san isidro,8626
caba,8555
la pampa,8499
chicago,8483
nan,8330
todos,8150
estados unidos,8106
buenos das,8085
paris,8080
puerto madero,8003
hola,7947
ushuaia,7934
new york,7900
ee  uu,7812
paran,7799
brian,7795
la rioja,7784
central,7744
per,7740
paz,7654
dale,7647
patagonia,7616
plaza,7586
sol,7571
tandil,7547
pau,7463
india,7355
alaska,7273
florida,7162
australia,7052
santa,7022
capital,6944
casa,6889
casa rosada,6780
lourdes,6646
younow,6623
tigre,6589
villa,6536
rusia,6535
olivos,6528
chacabuco,6516
chivilcoy,6453
rio negro,6380
coln,6353
israel,6339
provincia de buenos aires,6331
camila,6293
duermo,6291
nahuel,6287
inglaterra,6161
lluvia,6147
este,6132
recoleta,6116
santiago del estero,6100
mac,6067
san martin,6046
villa gesell,5928
distrito federal,5908
ananindeua,5883
buenos,5772
siria,5744
san francisco,5732
victoria,5646
buenaas,5631
bahia blanca,5601
panam,5570
ojala,5524
atenas,5518
can,5489
caballito,5478
dios,5463
lomas de zamora,5463
pars,5452
todo,5411
yelp,5406
sie,5351
monumental,5330
pinamar,5260
capital federal,5185
sanlorenzo,5116
alguien,4951
mal,4915
vaticano,4906
portugal,4859
jeje,4803
bahia,4800
nueva york,4765
atlanta,4756
brazil,4754
marte,4731
baha blanca,4704
necochea,4698
viedma,4638
vamos river,4618
japon,4605
bai,4542
san telmo,4529
lans,4501
brooklyn,4468
luna park,4463
hoy river,4437
morn,4380
baires,4377
montevideo,4370
chubut,4361
merlo,4360
clarn,4356
orlando,4298
san miguel,4281
espaol,4258
gualeguaych,4179
tierra del fuego,4167
par,4163
barrio,4159
holanda,4123
dubai,4082
san rafael,4069
mar,4021
pinto,4005
san fernando,3998
banfield,3996
entre ros,3960
japan,3954
hermosa,3936
lomas,3934
rafaela,3927
carlos paz,3894
nueva crdoba,3881
santafe,3842
san bernardo,3839
abuela,3833
moreno,3808
gonza,3801
almagro,3796
parana,3762
anoche,3746
maluma,3742
france,3728
lan,3688
roca,3668
magnetto,3651
london,3647
see,3647
gesell,3637
linda,3628
villa carlos paz,3594
guadalupe,3576
hoy,3564
america,3563
msica,3562
bronca,3562
neuquen,3552
cara,3505
boedo,3495
rivadavia,3459
puerto madryn,3456
chi,3445
hollywood,3441
fel,3438
bs  as,3432
mor,3432
vale,3431
la paz,3420
retiro,3416
corazn,3414
buenaaaas,3404
peru,3397
lanus,3393
costa,3384
flor,3340
tierra,3333
carajo,3321
san justo,3319
olavarra,3312
punta del este,3308
bahamas,3256
amrica latina,3253
madryn,3210
bella vista,3203
luna,3192
sarmiento,3174
irlanda,3169
alto,3168
puerto rico,3165
regin metropolitana,3148
nadie,3147
california,3141
mari,3108
casco,3106
san nicols,3088
junn,3086
caribe,3073
villa maria,3071
san miguel de tucumn,3041
arjona,3026
huracan,3023
suiza,3022
la beriso,3022
flores,2993
godoy cruz,2982
lima,2975
vol,2974
mica,2963
campana,2962
buenos aires f  d,2957
col,2950
mili,2936
nyc,2915
colorado,2913
morocco,2900
caseros,2880
bombonera,2880
miramar,2875
san pedro,2871
para,2869
mierda,2860
italy,2844
hurlingham,2833
resistencia,2827
mardel,2799
las vegas,2796
villa crespo,2777
indonesia,2757
goooool,2750
malvinas,2733
mitre,2713
asia,2711
zrate,2706
valen,2690
grecia,2684
barracas,2681
man,2674
trelew,2671
panama,2657
ituzaingo,2649
baha,2638
spain,2633
marian,2632
los,2617
lin,2609
beriso,2609
sal,2608
rosario centro,2581
alvear,2573
sabado,2570
monte grande,2566
temperley,2563
cali,2560
ciudad autnoma de buenos aires,2554
villa ballester,2543
asado,2540
siestaaa,2519
cba,2518
jamaica,2518
lorenzo,2508
cor,2504
martn,2500
bron,2496
buen da,2494
gualeguaychu,2492
pergamino,2488
ariana grande,2487
lali,2484
monte,2476
buenasnoches,2468
bueno,2458
facu,2457
rio de janeiro,2455
pel,2431
mil,2430
concordia,2426
olavarria,2422
ciudad de bragado,2414
asadito,2414
esto,2413
antares,2412
ibiza,2409
enjueves,2408
cagon,2407
grande,2406
patagonia argentina,2404
seo,2399
candela,2391
ponele,2391
obelisco,2387
velez,2386
canada,2386
oeste,2369
la bombonera,2352
marama,2345
villa adelina,2323
tokio,2323
liniers,2317
martnez,2317
lpez,2315
norte,2301
buena,2298
aguante,2289
colon,2286
rosada,2279
goooooool,2278
olimpo,2271
rombai,2235
la matanza,2234
mora,2231
beron,2228
cancha,2223
islandia,2201
cauelas,2183
alta,2174
virginia,2162
egipto,2158
villa mara,2157
centro,2154
villa urquiza,2143
goya,2141
feliz,2139
davos,2136
rom,2126
coquimbo,2122
san antonio,2117
con,2107
esperanza,2106
honduras,2096
municipio,2091
huracn,2085
latinoamrica,2079
caen,2058
siestaa,2044
pampita,2043
gan,2037
agua,2037
havanna,2036
buenos aires argentina,2029
turqua,2028
baradero,2028
mas,2025
jajaja,2021
dale river,2017
libertad,2014
san pablo,2008
ros,2005
calafate,2001
ensabado,1995
villa del parque,1994
dakar,1994
mori,1988
caracas,1988
monte hermoso,1982
manhattan,1982
mata,1981
alpedo,1979
cami,1978
san valentn,1975
pern,1972
quito,1970
pobre,1969
che,1964
plata,1962
mart,1954
fran,1954
yaqpa,1950
perdn,1948
qui,1948
amsterdam,1933
los angeles,1931
saavedra,1925
lujn,1919
miami beach,1916
vier,1915
costa rica,1902
callao,1899
washington,1894
sala,1893
barrio de palermo,1888
barrio norte,1888
bruselas,1885
taiwan,1879
lanata,1879
sta fe,1878
tecnopolis,1868
la boca,1868
santa teresita,1868
eees,1864
lincoln,1860
seeee,1856
general roca,1854
germany,1849
ensenada,1849
san vicente,1847
basta,1846
san carlos,1846
las heras,1839
kempes,1833
cosquin,1830
nunca,1827
africa,1826
vlez,1823
parque,1811
ramos meja,1808
rioja,1806
paso,1802
buenos aires f,1798
pcia de buenos aires,1798
pampa,1791
tra,1781
mara,1773
vierne,1772
castelar,1772
bogot,1768
mer,1767
chascoms,1763
estadio monumental,1755
san jos,1743
pan,1742
siestaaaa,1742
llue,1742
perdon,1739
arg,1738
bragado,1738
vierness,1735
avenida brasil,1728
milanesa,1725
el calafate,1721
fua,1719
dor,1713
patria,1712
casanova,1711
viernessss,1710
gracia,1700
bar,1696
pas,1695
zona,1694
reino unido,1687
venecia,1684
lugano,1676
san carlos de bariloche,1676
chipote,1669
cam,1669
leicester,1669
once,1668
talleres,1657
milagro sala,1653
bay,1651
russia,1651
asuncin,1650
oriana,1650
luifa,1648
canelones,1647
nada,1646
sudamrica,1646
berazategui,1642
bernal,1638
ro negro,1635
carrica,1631
estadio,1616
vera,1615
gran,1610
chupala,1610
mauri,1606
yerba buena,1603
vela,1598
suecia,1590
que,1586
estambul,1586
almuerzo,1581
ro gallegos,1580
las,1580
crdoba capital,1574
spa,1572
chacarita,1572
rio cuarto,1567
aburrida,1565
sudfrica,1565
mendo,1552
besos,1551
ina,1547
guatemala,1545
boston,1544
ndo,1544
pehuajo,1543
gol,1543
paio,1535
lujan,1532
ciudad de neuquen,1527
laguna,1521
pico,1519
dolores,1518
cas,1516
gualeguay,1514
toledo,1514
houston,1514
mariano,1510
tolosa,1509
ciudad de la plata,1505
villa la angostura,1495
esp,1491
casa blanca,1490
bariloch,1490
seor,1487
palermo hollywood,1485
av    de julio,1480
azzaroalhorno,1478
nayar,1467
milena,1465
islas malvinas,1461
jap,1458
nueva zelanda,1455
berlin,1453
ciudadela,1452
punta,1451
plaza san martn,1451
moron,1451
aranguren,1451
bara,1450
mircoles,1449
salto,1449
buscando,1448
vayan,1439
moria,1438
san cayetano,1438
arroyito,1432
otamendi,1431
rica,1431
santa teresita la costa,1430
praga,1425
morite,1424
texas,1420
costa salguero,1418
tailandia,1418
maana river,1417
neymar,1416
barilo,1415
sur,1411
cho,1411
asa,1410
posadas mnes,1409
marcos paz,1406
ayacucho,1403
wall street,1396
sevilla,1387
casa de gobierno,1387
ciudad de mendoza,1387
mayo,1385
villa mercedes,1381
puerto,1380
balcarce,1377
cabildo,1376
trinidad,1376
cerro catedral,1376
manchester,1376
galicia,1374
bari,1369
daleeeee,1368
sarand,1362
general pico,1352
wimbledon,1340
iran,1338
croacia,1332
austria,1330
angeles,1329
ro de janeiro,1326
banda,1325
ver,1325
alberdi,1325
